label_type	pref_label	label
cell	hbl-1 cell	hbl-1 cell
cell	hcc1954	hcc1954
cell	hcc1954	hcc-1954
cell	hcc2157	hcc2157
cell	hcc2157	hcc-2157
cell	hcc95	hcc95
cell	hcc95	hcc-95
cell	hcec 1ct	hcec 1ct
cell	hct116	hct116
cell	hct116	hct-116 cell
cell	hct116	hct116 cell
cell	hct-116	hct-116
cell	hct15	hct-116
cell	hct15	hct15
cell	hct15	hct-15
cell	hek293	hek293
cell	hek293	human embryonic kidney cell
cell	hek293a	hek293a
cell	hek293t	hek293t
cell	hela	hela
cell	hela-s3	hela-s3
cell	hela-s3 cervical carcinoma cell line	hela-s3 cervical carcinoma cell line
cell	helper t cell	helper t cell
cell	helper t cell	helper t-cell
cell	helper t cell	helper t lymphocyte
cell	helper t cell	helper t-lymphocyte
cell	helper t cell	primary t helper memory cells from peripheral blood 2
cell	helper t cell	primary t helper naive cells from peripheral blood
cell	helper t cell	t-helper cell
cell	hematopoietic multipotent progenitor cell	hematopoietic multipotent progenitor cell
cell	hematopoietic multipotent progenitor cell	hemopoietic progenitor cell
cell	hematopoietic multipotent progenitor cell	mpp
cell	hematopoietic stem cell	blood forming stem cell
cell	hematopoietic stem cell	colony forming unit hematopoietic
cell	hematopoietic stem cell	hematopoietic stem cell
cell	hematopoietic stem cell	hemopoietic stem cell
cell	hematopoietic stem cell	hsc
cell	hematopoietic stem cell	primary hematopoietic stem cells
cell	hepatic stellate cell	fat-storing cell
cell	hepatic stellate cell	hepatic perisinusoidal cell
cell	hepatic stellate cell	hepatic stellate cell
cell	hepatic stellate cell	ito cell
cell	hepatic stellate cell	lipocyte
cell	hepatic stellate cell	lx2
cell	hepatic stellate cell	perisinusoidal cell
cell	hepatic stellate cell	vitamin a-storing cells
cell	hepatocyte	hepatocyte
cell	hepg2	hepg2
cell	hepg2	hep-g2
cell	hepg2	hepg2 cell
cell	hepg2 hepatocellular carcinoma cell line	hepg2 hepatocellular carcinoma cell line
cell	hesc derived cd184+ endoderm cultured cells	hesc derived cd184+ endoderm cultured cells
cell	hesc derived cd56+ ectoderm cultured cells	hesc derived cd56+ ectoderm cultured cells
cell	hesc derived cd56+ mesoderm cultured cells	hesc derived cd56+ mesoderm cultured cells
cell	hesc line h1	hesc line h1
cell	hes i3	hes i3
cell	hffc6	hffc6
cell	hffc6	hff-htert clone 6
cell	hff-myc	hff cmyc
cell	hff-myc	hff_cmyc
cell	hff-myc	hff-cmyc
cell	hff-myc	hff myc
cell	hff-myc	hff_myc
cell	hff-myc	hff-myc
cell	hgadfn167	hgadfn167
cell	hgadfn167	hgadfn167 cell
cell	hgadfn167	hgps
cell	hgadfn167	hgps cell
cell	hgfdfn168	hgfdfn168
cell	hk-2	hk-2
cell	hkc8	hkc8
cell	hl-60	hl60
cell	hl-60	hl-60
cell	hl-60	hl-60 cell
cell	hl-60	hl60 cell
cell	hmads-3	hmads-3
cell	hmec	hmec
cell	hmec mammary epithelial primary cells	hmec mammary epithelial primary cells
cell	hpde6-e6e7	hpde-6e6e7
cell	hpde6-e6e7	hpde-6_e6e7
cell	hpde6-e6e7	hpde-6/e6e7
cell	hpde6-e6e7	hpde6-e6e7
cell	hpde6-e6e7	hpde6-e6e7-hpv
cell	hpde6-e6e7	pancreatic duct cells e6e7
cell	hre	hre
cell	hre	human renal epithelial cell line
cell	hs-27a	hs-27a
cell	hs-27a	hs-27a cell
cell	hs 38.t	hs 38.t
cell	hs 38.t	wi-38
cell	hs-5	hs-5
cell	hs-5	hs-5 cell
cell	hs68	hs68
cell	hsmm cell derived skeletal muscle myotubes cells	hsmm cell derived skeletal muscle myotubes cells
cell	hsmm skeletal muscle myoblasts cells	hsmm skeletal muscle myoblasts cells
cell	ht1080	ht1080
cell	ht29	ht29
cell	ht-29	ht-29
cell	htr-8/svneo	htr-8/svneo
cell	htr8/svneo	htr_8_svneo
cell	htr8/svneo	htr-8-svneo
cell	htr8/svneo	htr-8/svneo
cell	htr8/svneo	htr8-svneo
cell	htr8/svneo	htr8/svneo
cell	hucct1	hucct1
cell	hues48	hues48
cell	hues48	hues48 cells
cell	hues48 cells	hues48 cells
cell	hues6	hues6
cell	hues6	hues6 cells
cell	hues64	hues64
cell	hues64	hues64 cells
cell	hues64 cells	hues64 cells
cell	hues6 cells	hues6 cells
cell	huh-7	huh7
cell	huh-7	huh-7
cell	huh-7.5	huh-7.5
cell	huref	huref
cell	huvec	huvec
cell	huvec cell	human umbilical vein endothelial cell
cell	huvec cell	huvec
cell	huvec cell	huvec cell
cell	huvec cell	huvec umbilical vein endothelial primary cells
cell	huvec umbilical vein endothelial primary cells	huvec umbilical vein endothelial primary cells
cell	hypobranchial artery	ha
cell	hypobranchial artery	ha-sp
cell	hypobranchial artery	hypobranchial artery
cell	immortal human testis-derived cell line cell	immortal human testis-derived cell line cell
cell	immortal human testis-derived cell line cell	nccit
cell	imr90	imr90
cell	imr-90	imr90
cell	imr-90	imr-90
cell	imr-90	imr90 fetal lung fibroblast cell line
cell	imr-90	imr90 fetal lung fibroblasts cell line
cell	imr90 fetal lung fibroblast cell line	imr90 fetal lung fibroblast cell line
cell	imr90 fetal lung fibroblasts cell line	imr90 fetal lung fibroblasts cell line
cell	ims13q	ims13q
cell	ioe11	ioe11
cell	ioe4	ioe4
cell	ips-11a	ips-11a
cell	ips-15b	ips-15b
cell	ips-15b	ips-15b cells
cell	ips-15b cells	ips-15b cells
cell	ips-18c	ips-18c
cell	ips-18 cells	ips-18 cells
cell	ips-20b	ips-20b
cell	ips-20b	ips-20b cells
cell	ips-20b cells	ips-20b cells
cell	ips 4	ips 4
cell	ips-5	ips-18 cells
cell	ips-5	ips-5
cell	ips a1	ips a1
cell	ips a6	ips a6
cell	ips c1	ips c1
cell	ipsc derived	ipsc derived
cell	ipsc derived cell line	induced pluripotent stem cell derived cell line
cell	ipsc derived cell line	ipsc derived
cell	ipsc derived cell line	ipsc derived cell line
cell	ipsc derived cell line	m23f
cell	ipsc derived cell line	pdb1lox-17/puro-5
cell	ipsc derived cell line	pdb1lox-21/puro-26
cell	ips df 19.11	ips df 19.11
cell	ips df 19.11	ips df 19.11 cells
cell	ips df 19.11 cells	ips df 19.11 cells
cell	ips df 6.9	ips df 6.9
cell	ips df 6.9	ips df 6.9 cells
cell	ips df 6.9 cells	ips df 6.9 cells
cell	ips-nihi11	ag20443
cell	ips-nihi11	ips 4
cell	ips-nihi11	ips a1
cell	ips-nihi11	ips a6
